timestamp_unix,timestamp_utc,field,value
1783165898.969589,2026-07-04T13:51:38Z,temperature_c,19.6
1783165898.9725592,2026-07-04T13:51:38Z,humidity_rel,50.7
1783165898.973015,2026-07-04T13:51:38Z,pressure_hpa,1017.4
1783165898.993799,2026-07-04T13:51:38Z,calibrated,0.242
1783165898.994549,2026-07-04T13:51:38Z,raw_adc,49827
1783165898.9954188,2026-07-04T13:51:38Z,wind_speed,17.8
1783165898.995758,2026-07-04T13:51:38Z,light_lux,44220.9
1783165904.115646,2026-07-04T13:51:44Z,temperature_c,19.7
1783165904.2321799,2026-07-04T13:51:44Z,humidity_rel,51
1783165904.363913,2026-07-04T13:51:44Z,pressure_hpa,1017.1
1783165904.3645282,2026-07-04T13:51:44Z,calibrated,0.242
1783165904.364921,2026-07-04T13:51:44Z,wind_speed,19.1
1783165904.365054,2026-07-04T13:51:44Z,light_lux,45439.1
1783165909.469818,2026-07-04T13:51:49Z,temperature_c,19.6
1783165909.47087,2026-07-04T13:51:49Z,humidity_rel,51.9
1783165909.472026,2026-07-04T13:51:49Z,pressure_hpa,1016.6
1783165909.575843,2026-07-04T13:51:49Z,calibrated,0.242
1783165909.727113,2026-07-04T13:51:49Z,wind_speed,12.6
1783165909.9170089,2026-07-04T13:51:49Z,light_lux,43320.0
1783165914.16118,2026-07-04T13:51:54Z,temperature_c,19.7
1783165914.334599,2026-07-04T13:51:54Z,humidity_rel,51
1783165914.4833229,2026-07-04T13:51:54Z,pressure_hpa,1017.1
1783165914.4845812,2026-07-04T13:51:54Z,calibrated,0.242
1783165914.485429,2026-07-04T13:51:54Z,wind_speed,17.8
1783165914.640926,2026-07-04T13:51:54Z,light_lux,43320.0
1783165918.9886441,2026-07-04T13:51:58Z,temperature_c,19.5
1783165918.9896598,2026-07-04T13:51:58Z,humidity_rel,51.8
1783165918.9906602,2026-07-04T13:51:58Z,pressure_hpa,1017.4
1783165919.003314,2026-07-04T13:51:59Z,calibrated,0.238
1783165919.004003,2026-07-04T13:51:59Z,raw_adc,50375
1783165919.00444,2026-07-04T13:51:59Z,wind_speed,17.8
1783165919.004738,2026-07-04T13:51:59Z,light_lux,42776.0
1783165924.141972,2026-07-04T13:52:04Z,temperature_c,19.7
1783165924.294179,2026-07-04T13:52:04Z,humidity_rel,51
1783165924.459446,2026-07-04T13:52:04Z,pressure_hpa,1017.1
1783165924.460474,2026-07-04T13:52:04Z,calibrated,0.232
1783165924.46101,2026-07-04T13:52:04Z,raw_adc,49909
1783165924.461536,2026-07-04T13:52:04Z,wind_speed,18.3
1783165924.6235058,2026-07-04T13:52:04Z,light_lux,43320.0
1783165929.171536,2026-07-04T13:52:09Z,temperature_c,19.7
1783165929.3329542,2026-07-04T13:52:09Z,humidity_rel,51
1783165929.475871,2026-07-04T13:52:09Z,pressure_hpa,1017.1
1783165929.476887,2026-07-04T13:52:09Z,calibrated,0.232
1783165929.4775171,2026-07-04T13:52:09Z,raw_adc,50335
1783165929.478132,2026-07-04T13:52:09Z,wind_speed,18.3
1783165929.6332679,2026-07-04T13:52:09Z,light_lux,43320.0
1783165934.1610188,2026-07-04T13:52:14Z,temperature_c,19.7
1783165934.314462,2026-07-04T13:52:14Z,humidity_rel,51
1783165934.444575,2026-07-04T13:52:14Z,pressure_hpa,1017.1
1783165934.4451368,2026-07-04T13:52:14Z,calibrated,0.226
1783165934.445365,2026-07-04T13:52:14Z,raw_adc,50603
1783165934.445715,2026-07-04T13:52:14Z,wind_speed,19.3
1783165934.446,2026-07-04T13:52:14Z,light_lux,43772.7
1783165939.008676,2026-07-04T13:52:19Z,temperature_c,20.0
1783165939.0095391,2026-07-04T13:52:19Z,humidity_rel,51.5
1783165939.010272,2026-07-04T13:52:19Z,pressure_hpa,1017.2
1783165939.023859,2026-07-04T13:52:19Z,calibrated,0.241
1783165939.024286,2026-07-04T13:52:19Z,raw_adc,49513
1783165939.0245628,2026-07-04T13:52:19Z,wind_speed,19.8
1783165939.024739,2026-07-04T13:52:19Z,light_lux,42664.5
1783165944.02302,2026-07-04T13:52:24Z,temperature_c,19.4
1783165944.024253,2026-07-04T13:52:24Z,humidity_rel,51.7
1783165944.0252512,2026-07-04T13:52:24Z,pressure_hpa,1017.0
1783165944.0411131,2026-07-04T13:52:24Z,calibrated,0.241
1783165944.1872299,2026-07-04T13:52:24Z,wind_speed,12.6
1783165944.187679,2026-07-04T13:52:24Z,light_lux,41849.1
1783165949.028935,2026-07-04T13:52:29Z,temperature_c,19.6
1783165949.029546,2026-07-04T13:52:29Z,humidity_rel,50.6
1783165949.030276,2026-07-04T13:52:29Z,pressure_hpa,1017.3
1783165949.044998,2026-07-04T13:52:29Z,calibrated,0.231
1783165949.0453582,2026-07-04T13:52:29Z,raw_adc,50017
1783165949.045718,2026-07-04T13:52:29Z,wind_speed,18.4
1783165949.0459049,2026-07-04T13:52:29Z,light_lux,44386.8
1783165954.027605,2026-07-04T13:52:34Z,temperature_c,19.6
1783165954.0286741,2026-07-04T13:52:34Z,humidity_rel,51.9
1783165954.0296478,2026-07-04T13:52:34Z,pressure_hpa,1016.9
1783165954.046752,2026-07-04T13:52:34Z,calibrated,0.236
1783165954.0472581,2026-07-04T13:52:34Z,raw_adc,50226
1783165954.047613,2026-07-04T13:52:34Z,wind_speed,19.0
1783165954.047822,2026-07-04T13:52:34Z,light_lux,43172.7
1783165959.032474,2026-07-04T13:52:39Z,temperature_c,19.8
1783165959.033456,2026-07-04T13:52:39Z,humidity_rel,50.8
1783165959.0340722,2026-07-04T13:52:39Z,pressure_hpa,1016.9
1783165959.050565,2026-07-04T13:52:39Z,calibrated,0.236
1783165959.193411,2026-07-04T13:52:39Z,wind_speed,12.6
1783165959.1946208,2026-07-04T13:52:39Z,light_lux,42658.7
1783165964.209368,2026-07-04T13:52:44Z,temperature_c,19.7
1783165964.359263,2026-07-04T13:52:44Z,humidity_rel,51
1783165964.496403,2026-07-04T13:52:44Z,pressure_hpa,1017.1
1783165964.497503,2026-07-04T13:52:44Z,calibrated,0.242
1783165964.498123,2026-07-04T13:52:44Z,raw_adc,50075
1783165964.498724,2026-07-04T13:52:44Z,wind_speed,19.0
1783165964.4992971,2026-07-04T13:52:44Z,light_lux,42071.7
1783165969.232424,2026-07-04T13:52:49Z,temperature_c,19.7
1783165969.380946,2026-07-04T13:52:49Z,humidity_rel,51
1783165974.414005,2026-07-04T13:52:54Z,calibrated,0.24
1783165974.4149911,2026-07-04T13:52:54Z,raw_adc,49940
1783165974.416245,2026-07-04T13:52:54Z,wind_speed,18.3
1783165974.595099,2026-07-04T13:52:54Z,light_lux,43320.0
1783165974.778021,2026-07-04T13:52:54Z,temperature_c,19.7
1783165974.917834,2026-07-04T13:52:54Z,humidity_rel,51
1783165975.0643442,2026-07-04T13:52:55Z,pressure_hpa,1017.1
1783165975.06516,2026-07-04T13:52:55Z,calibrated,0.238
1783165975.065624,2026-07-04T13:52:55Z,raw_adc,50000
1783165975.0660129,2026-07-04T13:52:55Z,wind_speed,19.6
1783165975.066436,2026-07-04T13:52:55Z,light_lux,43607.4
1783165979.229954,2026-07-04T13:52:59Z,temperature_c,19.7
1783165979.40703,2026-07-04T13:52:59Z,humidity_rel,51
1783165984.436673,2026-07-04T13:53:04Z,calibrated,0.228
1783165984.4379551,2026-07-04T13:53:04Z,raw_adc,50615
1783165984.439289,2026-07-04T13:53:04Z,wind_speed,18.6
1783165984.4400818,2026-07-04T13:53:04Z,light_lux,42835.6
1783165984.4408078,2026-07-04T13:53:04Z,temperature_c,19.9
1783165984.44134,2026-07-04T13:53:04Z,humidity_rel,51.3
1783165984.441819,2026-07-04T13:53:04Z,pressure_hpa,1016.9
1783165984.442374,2026-07-04T13:53:04Z,calibrated,0.24
1783165984.4435022,2026-07-04T13:53:04Z,raw_adc,49995
1783165984.444522,2026-07-04T13:53:04Z,wind_speed,19.1
1783165986.574281,2026-07-04T13:53:06Z,light_lux,43320.0
1783179602.52645,2026-07-04T17:40:02Z,temperature_c,16.7
1783179602.5281432,2026-07-04T17:40:02Z,humidity_rel,73.7
1783179602.528693,2026-07-04T17:40:02Z,pressure_hpa,1016.8
1783179602.545536,2026-07-04T17:40:02Z,light_lux,19942.5
1783179602.546151,2026-07-04T17:40:02Z,calibrated,0.244
1783179602.546305,2026-07-04T17:40:02Z,raw_adc,49783
1783179602.7473621,2026-07-04T17:40:02Z,wind_speed,9.8
1783179607.693315,2026-07-04T17:40:07Z,temperature_c,16.9
1783179607.854021,2026-07-04T17:40:07Z,humidity_rel,74
1783179607.972634,2026-07-04T17:40:07Z,pressure_hpa,1016.6
1783179607.973689,2026-07-04T17:40:07Z,light_lux,19289.7
1783179607.974294,2026-07-04T17:40:07Z,calibrated,0.238
1783179607.9744809,2026-07-04T17:40:07Z,raw_adc,50088
1783179608.138092,2026-07-04T17:40:08Z,wind_speed,9.8
1783179612.9514701,2026-07-04T17:40:12Z,temperature_c,16.9
1783179613.074626,2026-07-04T17:40:13Z,humidity_rel,74
1783179613.206521,2026-07-04T17:40:13Z,pressure_hpa,1016.6
1783179613.207396,2026-07-04T17:40:13Z,light_lux,20602.0
1783179613.208102,2026-07-04T17:40:13Z,wind_speed,14.2
1783179613.208582,2026-07-04T17:40:13Z,calibrated,0.238
1783179617.998247,2026-07-04T17:40:17Z,light_lux,21249.5
1783179617.999228,2026-07-04T17:40:17Z,calibrated,0.237
1783179617.9999418,2026-07-04T17:40:17Z,raw_adc,50192
1783179622.692039,2026-07-04T17:40:22Z,temperature_c,17.2
1783179622.693085,2026-07-04T17:40:22Z,humidity_rel,73.6
1783179622.693981,2026-07-04T17:40:22Z,pressure_hpa,1016.9
1783179622.69435,2026-07-04T17:40:22Z,light_lux,19968.3
1783179622.6946402,2026-07-04T17:40:22Z,wind_speed,14.9
1783179622.694874,2026-07-04T17:40:22Z,calibrated,0.237
1783179627.9669518,2026-07-04T17:40:27Z,temperature_c,17.0
1783179627.9681642,2026-07-04T17:40:27Z,humidity_rel,74.6
1783179627.9691079,2026-07-04T17:40:27Z,pressure_hpa,1016.8
1783179627.970017,2026-07-04T17:40:27Z,light_lux,20289.7
1783179627.97085,2026-07-04T17:40:27Z,calibrated,0.237
1783179627.9716852,2026-07-04T17:40:27Z,wind_speed,13.8
1783179632.546944,2026-07-04T17:40:32Z,temperature_c,16.8
1783179632.547233,2026-07-04T17:40:32Z,humidity_rel,74.7
1783179632.547609,2026-07-04T17:40:32Z,pressure_hpa,1016.3
1783179632.730842,2026-07-04T17:40:32Z,light_lux,20280.0
1783179632.864874,2026-07-04T17:40:32Z,wind_speed,9.8
1783179632.86597,2026-07-04T17:40:32Z,calibrated,0.238
1783179632.8664372,2026-07-04T17:40:32Z,raw_adc,49491
1783179637.549475,2026-07-04T17:40:37Z,temperature_c,16.7
1783179637.549715,2026-07-04T17:40:37Z,humidity_rel,74.4
1783179637.5498052,2026-07-04T17:40:37Z,pressure_hpa,1016.9
1783179637.695808,2026-07-04T17:40:37Z,light_lux,20280.0
1783179637.874091,2026-07-04T17:40:37Z,wind_speed,9.8
1783179637.875249,2026-07-04T17:40:37Z,calibrated,0.238
1783179642.668865,2026-07-04T17:40:42Z,temperature_c,16.9
1783179642.807155,2026-07-04T17:40:42Z,humidity_rel,74
1783179642.92929,2026-07-04T17:40:42Z,pressure_hpa,1016.6
1783179643.043127,2026-07-04T17:40:43Z,light_lux,20280.0
1783179643.043562,2026-07-04T17:40:43Z,calibrated,0.234
1783179643.043909,2026-07-04T17:40:43Z,raw_adc,49818
1783179643.160596,2026-07-04T17:40:43Z,wind_speed,9.8
1783179647.6835892,2026-07-04T17:40:47Z,temperature_c,16.9
1783179647.82379,2026-07-04T17:40:47Z,humidity_rel,74
1783179647.965785,2026-07-04T17:40:47Z,pressure_hpa,1016.6
1783179647.966825,2026-07-04T17:40:47Z,light_lux,20573.4
1783179647.9674938,2026-07-04T17:40:47Z,calibrated,0.234
1783179647.968086,2026-07-04T17:40:47Z,wind_speed,14.2
1783179652.5636978,2026-07-04T17:40:52Z,temperature_c,16.6
1783179652.563964,2026-07-04T17:40:52Z,humidity_rel,74.3
1783179652.5640562,2026-07-04T17:40:52Z,pressure_hpa,1016.1
1783179652.581343,2026-07-04T17:40:52Z,light_lux,19577.2
1783179652.581661,2026-07-04T17:40:52Z,calibrated,0.228
1783179652.5817401,2026-07-04T17:40:52Z,raw_adc,50724
1783179652.582166,2026-07-04T17:40:52Z,wind_speed,14.0
1783179657.581125,2026-07-04T17:40:57Z,temperature_c,17.2
1783179657.581425,2026-07-04T17:40:57Z,humidity_rel,74.2
1783179657.5817752,2026-07-04T17:40:57Z,pressure_hpa,1016.5
1783179657.582927,2026-07-04T17:40:57Z,light_lux,20929.6
1783179657.600144,2026-07-04T17:40:57Z,calibrated,0.228
1783179657.608342,2026-07-04T17:40:57Z,wind_speed,15.5
1783179662.572185,2026-07-04T17:41:02Z,temperature_c,17.0
1783179662.572682,2026-07-04T17:41:02Z,humidity_rel,73.9
1783179662.57294,2026-07-04T17:41:02Z,pressure_hpa,1016.7
1783179662.590389,2026-07-04T17:41:02Z,light_lux,21099.7
1783179662.70941,2026-07-04T17:41:02Z,wind_speed,9.8
1783179662.709835,2026-07-04T17:41:02Z,calibrated,0.237
1783179662.7101529,2026-07-04T17:41:02Z,raw_adc,50236
1783179667.57451,2026-07-04T17:41:07Z,temperature_c,16.7
1783179667.575124,2026-07-04T17:41:07Z,humidity_rel,74.0
1783179667.575511,2026-07-04T17:41:07Z,pressure_hpa,1016.4
